RiskAtt,Gender,MaritalS,Age,Migration,Literate,Adaptation,Riskperception,Riskdrought,Riskofcoldheat,Riskofrain,Saleagri,Riskcropf,Riskofavalanche,RiskCC,MainIncomeS,Province,Gender and Age,,Marital Satus and Age
0,1,1,62,0,0,0,3,0,3,3,1,3,0,2,1,0,,,
0,1,1,50,0,0,0,1,0,3,1,1,1,1,1.333333373,1,0,,,
1,1,1,52,0,1,0,1,2,2,1,1,4,4,1.666666627,1,0,,,
1,1,1,35,0,0,0,1,4,2,0,1,2,0,2,1,0,,,
1,1,1,47,1,1,0,3,0,2,2,1,2,0,1.333333373,0,0,,,
1,1,1,29,1,1,0,1,4,3,4,1,4,4,3.666666746,1,0,,,
1,1,0,18,0,1,0,1,0,3,0,1,3,3,1,0,0,,,
1,1,1,40,1,1,0,2,4,2,0,1,2,1,2,1,0,,,
0,1,1,53,1,1,0,1,2,2,1,1,3,0,1.666666627,1,0,,,
0,1,1,56,1,0,0,1,4,2,0,1,2,2,2,1,0,,,
0,1,1,24,0,1,0,1,4,2,1,1,1,0,2.333333254,1,0,,,
0,1,0,20,0,1,1,3,0,1,1,1,0,0,0.666666687,0,0,,,
1,1,1,31,0,1,0,2,0,2,0,1,2,3,0.666666687,1,0,,,
1,1,1,55,0,0,0,1,0,2,0,1,2,0,0.666666687,1,0,,,
0,1,1,55,1,0,0,2,2,2,2,1,2,0,2,1,0,,,
0,1,1,52,1,1,0,3,1,1,2,1,3,0,1.333333373,1,0,,,
1,1,0,21,1,1,0,3,1,1,1,1,1,2,1,1,0,,,
1,1,1,24,0,1,0,2,4,2,0,1,2,0,2,0,0,,,
1,1,1,30,0,0,0,2,4,3,0,1,3,1,2.333333254,1,0,,,
1,1,1,22,0,1,0,2,3,3,0,1,3,0,2,1,0,,,
0,1,1,30,1,0,0,3,0,2,2,1,1,0,1.333333373,1,0,,,
1,1,1,31,0,1,0,2,4,2,2,1,2,0,2.666666746,1,0,,,
0,1,1,50,1,0,0,1,3,2,2,1,3,0,2.333333254,1,0,,,
0,1,1,72,1,1,0,2,0,3,0,1,3,0,1,1,0,,,
1,1,1,22,0,1,0,1,4,2,4,1,4,0,3.333333254,1,0,,,
0,1,1,22,0,1,0,2,1,1,2,1,2,3,1.333333373,1,0,,,
1,1,0,22,1,1,0,4,0,2,2,1,3,0,1.333333373,0,0,,,
1,1,1,40,0,1,0,1,4,1,0,1,3,0,1.666666627,1,0,,,
1,1,1,55,1,1,0,3,3,2,3,1,3,3,2.666666746,1,0,,,
1,1,1,62,0,0,0,3,1,1,2,1,2,4,1.333333373,1,0,,,
0,1,1,24,0,1,0,3,0,2,2,1,2,0,1.333333373,1,0,,,
0,1,0,18,0,1,0,2,3,1,3,1,4,4,2.333333254,0,0,,,
0,1,1,35,1,1,0,2,0,2,2,1,3,3,1.333333373,1,0,,,
0,1,1,48,0,0,0,1,0,0,0,0,2,0,0,1,0,,,
1,1,1,29,0,1,0,2,4,3,2,1,3,0,3,1,0,,,
0,1,1,30,1,1,0,1,2,2,0,1,3,0,1.333333373,1,0,,,
0,1,1,22,0,0,0,2,1,1,1,1,2,0,1,1,0,,,
1,1,1,58,1,1,0,2,0,2,1,1,2,2,1,1,0,,,
1,1,1,50,1,0,0,1,3,3,3,1,3,0,3,1,0,,,
0,1,1,50,0,0,0,2,4,1,1,1,1,0,2,1,0,,,
0,1,1,40,0,0,0,1,0,3,0,1,2,0,1,1,0,,,
0,1,1,63,0,1,0,1,0,2,2,1,3,0,1.333333373,1,0,,,
0,1,1,43,0,0,0,2,0,3,2,1,2,0,1.666666627,1,0,,,
1,1,1,60,0,1,0,1,0,1,2,1,2,0,1,1,0,,,
0,1,1,47,0,0,0,1,0,0,1,1,2,0,0.333333343,1,0,,,
0,1,1,60,1,1,0,2,3,1,3,1,4,0,2.333333254,1,0,,,
0,1,1,70,1,0,0,2,2,3,1,1,2,3,2,1,0,,,
0,1,1,20,0,1,0,1,3,2,2,1,2,3,2.333333254,0,0,,,
1,1,1,30,0,1,0,3,1,0,0,1,4,4,0.333333343,0,0,,,
0,1,1,24,0,0,1,2,4,2,1,0,1,0,2.333333254,0,0,,,
1,1,1,27,0,1,0,3,1,3,3,1,1,0,2.333333254,0,0,,,
1,1,1,50,0,0,0,0,0,3,4,1,3,0,2.333333254,1,0,,,
1,1,1,42,0,1,0,2,0,2,2,0,2,0,1.333333373,1,0,,,
1,1,1,45,0,1,0,2,4,2,0,1,3,0,2,1,0,,,
1,1,1,30,1,1,0,2,0,1,1,1,2,0,0.666666687,1,0,,,
0,1,0,20,0,1,0,1,3,2,1,1,1,0,2,0,0,,,
1,1,0,24,0,1,0,3,4,2,3,1,3,0,3,0,0,,,
